"Time","Brain.Stem"
-52.64,18803.5743905056
-52.63,18803.6497905644
-52.62,18803.7251906233
-52.61,18803.8005906821
-52.6,18803.8759907409
-52.59,18803.9513907998
-52.58,18804.0267908586
-52.57,18804.1021909174
-52.56,18804.1775909763
-52.55,18804.2529910351
-52.54,18804.3274852333
-52.53,18804.4019139115
-52.52,18804.4763425898
-52.51,18804.550771268
-52.5,18804.6251999462
-52.49,18804.6996286244
-52.48,18804.7740573027
-52.47,18804.8484859809
-52.46,18804.9229146591
-52.45,18804.9970115727
-52.44,18805.0704834822
-52.43,18805.1439553918
-52.42,18805.2174273013
-52.41,18805.2908992108
-52.4,18805.3643711203
-52.39,18805.4378430298
-52.38,18805.5113149393
-52.37,18805.5847868488
-52.36,18805.6582587583
-52.35,18805.731013539
-52.34,18805.8035430496
-52.33,18805.8760725602
-52.32,18805.9486020707
-52.31,18806.0211315813
-52.3,18806.0936610919
-52.29,18806.1661906024
-52.28,18806.238720113
-52.27,18806.3112496236
-52.26,18806.3836165328
-52.25,18806.4552177764
-52.24,18806.52681902
-52.23,18806.5984202636
-52.22,18806.6700215072
-52.21,18806.7416227508
-52.2,18806.8132239945
-52.19,18806.8848252381
-52.18,18806.9564264817
-52.17,18807.0280277253
-52.16,18807.0990900655
-52.15,18807.1697769406
-52.14,18807.2404638157
-52.13,18807.3111506909
-52.12,18807.381837566
-52.11,18807.4525244411
-52.1,18807.5232113162
-52.09,18807.5938981913
-52.08,18807.6645850665
-52.07,18807.735268719
-52.06,18807.8050548947
-52.05,18807.8748410704
-52.04,18807.9446272461
-52.03,18808.0144134219
-52.02,18808.0841995976
-52.01,18808.1539857733
-52,18808.223771949
-51.99,18808.2935581247
-51.98,18808.3633443005
-51.97,18808.4327597954
-51.96,18808.5016587155
-51.95,18808.5705576357
-51.94,18808.6394565558
-51.93,18808.708355476
-51.92,18808.7772543961
-51.91,18808.8461533163
-51.9,18808.9150522364
-51.89,18808.9839511565
-51.88,18809.0528500767
-51.87,18809.1210218108
-51.86,18809.1890466979
-51.85,18809.257071585
-51.84,18809.3250964721
-51.83,18809.3931213592
-51.82,18809.4611462464
-51.81,18809.5291711335
-51.8,18809.5971960206
-51.79,18809.6652209077
-51.78,18809.7330338142
-51.77,18809.8001976735
-51.76,18809.8673615329
-51.75,18809.9345253922
-51.74,18810.0016892515
-51.73,18810.0688531108
-51.72,18810.1360169701
-51.71,18810.2031808295
-51.7,18810.2703446888
-51.69,18810.3375085481
-51.68,18810.4041122319
-51.67,18810.4704278552
-51.66,18810.5367434785
-51.65,18810.6030591017
-51.64,18810.669374725
-51.63,18810.7356903483
-51.62,18810.8020059716
-51.61,18810.8683215949
-51.6,18810.9346372181
-51.59,18811.0008904965
-51.58,18811.0663704658
-51.57,18811.1318504351
-51.56,18811.1973304044
-51.55,18811.2628103737
-51.54,18811.3282903431
-51.53,18811.3937703124
-51.52,18811.4592502817
-51.51,18811.524730251
-51.5,18811.5902102203
-51.49,18811.6552877617
-51.48,18811.7199444532
-51.47,18811.7846011446
-51.46,18811.8492578361
-51.45,18811.9139145276
-51.44,18811.9785712191
-51.43,18812.0432279105
-51.42,18812.107884602
-51.41,18812.1725412935
-51.4,18812.2371979849
-51.39,18812.3011222353
-51.38,18812.3649678227
-51.37,18812.4288134101
-51.36,18812.4926589975
-51.35,18812.5565045849
-51.34,18812.6203501724
-51.33,18812.6841957598
-51.32,18812.7480413472
-51.31,18812.8118869346
-51.3,18812.8754790198
-51.29,18812.9385254783
-51.28,18813.0015719367
-51.27,18813.0646183951
-51.26,18813.1276648535
-51.25,18813.1907113119
-51.24,18813.2537577703
-51.23,18813.3168042288
-51.22,18813.3798506872
-51.21,18813.4428971456
-51.2,18813.5053677142
-51.19,18813.5676268234
-51.18,18813.6298859327
-51.17,18813.6921450419
-51.16,18813.7544041512
-51.15,18813.8166632604
-51.14,18813.8789223696
-51.13,18813.9411814789
-51.12,18814.0034405881
-51.11,18814.0655867199
-51.1,18814.127070068
-51.09,18814.1885534161
-51.08,18814.2500367642
-51.07,18814.3115201123
-51.06,18814.3730034604
-51.05,18814.4344868085
-51.04,18814.4959701566
-51.03,18814.5574535047
-51.02,18814.6189368528
-51.01,18814.6799922807
-51,18814.7407112673
-50.99,18814.8014302538
-50.98,18814.8621492404
-50.97,18814.922868227
-50.96,18814.9835872136
-50.95,18815.0443062002
-50.94,18815.1050251868
-50.93,18815.1657441734
-50.92,18815.22646316
-50.91,18815.2864485469
-50.9,18815.3464143865
-50.89,18815.4063802261
