"Time","Left.Cerebellum.Exterior"
-52.64,49562.2376965178
-52.63,49559.6031651876
-52.62,49556.9686338575
-52.61,49554.3341025273
-52.6,49551.6995711971
-52.59,49549.065039867
-52.58,49546.4305085368
-52.57,49543.7959772066
-52.56,49541.1614458765
-52.55,49538.5269145463
-52.54,49535.9564760409
-52.53,49533.3906733032
-52.52,49530.8248705654
-52.51,49528.2590678277
-52.5,49525.6932650899
-52.49,49523.1274623522
-52.48,49520.5616596145
-52.47,49517.9958568767
-52.46,49515.430054139
-52.45,49512.8874160033
-52.44,49510.3884171529
-52.43,49507.8894183024
-52.42,49505.390419452
-52.41,49502.8914206015
-52.4,49500.3924217511
-52.39,49497.8934229006
-52.38,49495.3944240502
-52.37,49492.8954251997
-52.36,49490.3964263493
-52.35,49487.9468414468
-52.34,49485.5127788428
-52.33,49483.0787162388
-52.32,49480.6446536348
-52.31,49478.2105910308
-52.3,49475.7765284268
-52.29,49473.3424658227
-52.28,49470.9084032187
-52.27,49468.4743406147
-52.26,49466.0513352089
-52.25,49463.6803964989
-52.24,49461.309457789
-52.23,49458.938519079
-52.22,49456.567580369
-52.21,49454.196641659
-52.2,49451.825702949
-52.19,49449.454764239
-52.18,49447.0838255291
-52.17,49444.7128868191
-52.16,49442.3781150036
-52.15,49440.0685414055
-52.14,49437.7589678073
-52.13,49435.4493942092
-52.12,49433.1398206111
-52.11,49430.830247013
-52.1,49428.5206734149
-52.09,49426.2110998168
-52.08,49423.9015262187
-52.07,49421.5921660723
-52.06,49419.3422507118
-52.05,49417.0923353512
-52.04,49414.8424199906
-52.03,49412.5925046301
-52.02,49410.3425892695
-52.01,49408.0926739089
-52,49405.8427585484
-51.99,49403.5928431878
-51.98,49401.3429278272
-51.97,49399.1172446076
-51.96,49396.9253309094
-51.95,49394.7334172113
-51.94,49392.5415035131
-51.93,49390.3495898149
-51.92,49388.1576761167
-51.91,49385.9657624185
-51.9,49383.7738487203
-51.89,49381.5819350221
-51.88,49379.3900213239
-51.87,49377.2450266837
-51.86,49375.1095068153
-51.85,49372.9739869468
-51.84,49370.8384670784
-51.83,49368.70294721
-51.82,49366.5674273416
-51.81,49364.4319074732
-51.8,49362.2963876048
-51.79,49360.1608677363
-51.78,49358.0388475283
-51.77,49355.9581608933
-51.76,49353.8774742583
-51.75,49351.7967876233
-51.74,49349.7161009883
-51.73,49347.6354143533
-51.72,49345.5547277183
-51.71,49343.4740410833
-51.7,49341.3933544483
-51.69,49339.3126678133
-51.68,49337.2671926874
-51.67,49335.2398244679
-51.66,49333.2124562485
-51.65,49331.185088029
-51.64,49329.1577198096
-51.63,49327.1303515901
-51.62,49325.1029833706
-51.61,49323.0756151512
-51.6,49321.0482469317
-51.59,49319.0247468902
-51.58,49317.0492266362
-51.57,49315.0737063821
-51.56,49313.098186128
-51.55,49311.122665874
-51.54,49309.1471456199
-51.53,49307.1716253658
-51.52,49305.1961051118
-51.51,49303.2205848577
-51.5,49301.2450646037
-51.49,49299.2941904944
-51.48,49297.3690907579
-51.47,49295.4439910214
-51.46,49293.5188912849
-51.45,49291.5937915484
-51.44,49289.6686918119
-51.43,49287.7435920754
-51.42,49285.8184923388
-51.41,49283.8933926023
-51.4,49281.9682928658
-51.39,49280.0874723656
-51.38,49278.2114073796
-51.37,49276.3353423936
-51.36,49274.4592774076
-51.35,49272.5832124216
-51.34,49270.7071474355
-51.33,49268.8310824495
-51.32,49266.9550174635
-51.31,49265.0789524775
-51.3,49263.2180156671
-51.29,49261.3896400662
-51.28,49259.5612644653
-51.27,49257.7328888644
-51.26,49255.9045132635
-51.25,49254.0761376626
-51.24,49252.2477620617
-51.23,49250.4193864608
-51.22,49248.5910108599
-51.21,49246.762635259
-51.2,49244.968185653
-51.19,49243.1861932354
-51.18,49241.4042008178
-51.17,49239.6222084002
-51.16,49237.8402159826
-51.15,49236.058223565
-51.14,49234.2762311474
-51.13,49232.4942387298
-51.12,49230.7122463122
-51.11,49228.9368241838
-51.1,49227.1999467128
-51.09,49225.4630692417
-51.08,49223.7261917706
-51.07,49221.9893142995
-51.06,49220.2524368285
-51.05,49218.5155593574
-51.04,49216.7786818863
-51.03,49215.0418044152
-51.02,49213.3049269442
-51.01,49211.5926172232
-51,49209.8996232668
-50.99,49208.2066293103
-50.98,49206.5136353538
-50.97,49204.8206413974
-50.96,49203.1276474409
-50.95,49201.4346534845
-50.94,49199.741659528
-50.93,49198.0486655715
-50.92,49196.3556716151
-50.91,49194.7042574932
-50.9,49193.0539513011
-50.89,49191.4036451091
-50.88,49189.753338917
-50.87,49188.103032725
-50.86,49186.4527265329
-50.85,49184.8024203409
-50.84,49183.1521141488
-50.83,49181.5018079568
-50.82,49179.8676245278
-50.81,49178.2588449444
-50.8,49176.6500653609
-50.79,49175.0412857774
-50.78,49173.432506194
-50.77,49171.8237266105
-50.76,49170.2149470271
-50.75,49168.6061674436
-50.74,49166.9973878602
-50.73,49165.3886082767
-50.72,49163.8122471503
-50.71,49162.2438665613
-50.7,49160.6754859722
-50.69,49159.1071053832
-50.68,49157.5387247941
-50.67,49155.970344205
-50.66,49154.401963616
-50.65,49152.8335830269
-50.64,49151.2652024379
-50.63,49149.7053375378
-50.62,49148.1762608513
