"Time","Left.Cerebellum.White.Matter"
-52.64,16165.1269211261
-52.63,16165.2348474643
-52.62,16165.3427738026
-52.61,16165.4507001408
-52.6,16165.558626479
-52.59,16165.6665528172
-52.58,16165.7744791555
-52.57,16165.8824054937
-52.56,16165.9903318319
-52.55,16166.0982581702
-52.54,16166.2061076393
-52.53,16166.3139515486
-52.52,16166.4217954579
-52.51,16166.5296393672
-52.5,16166.6374832764
-52.49,16166.7453271857
-52.48,16166.853171095
-52.47,16166.9610150043
-52.46,16167.0688589136
-52.45,16167.1766745243
-52.44,16167.2844368238
-52.43,16167.3921991234
-52.42,16167.4999614229
-52.41,16167.6077237225
-52.4,16167.7154860221
-52.39,16167.8232483216
-52.38,16167.9310106212
-52.37,16168.0387729208
-52.36,16168.1465352203
-52.35,16168.2542360401
-52.34,16168.3619175474
-52.33,16168.4695990547
-52.32,16168.577280562
-52.31,16168.6849620693
-52.3,16168.7926435766
-52.29,16168.900325084
-52.28,16169.0080065913
-52.27,16169.1156880986
-52.26,16169.2233555966
-52.25,16169.3309571274
-52.24,16169.4385586582
-52.23,16169.5461601889
-52.22,16169.6537617197
-52.21,16169.7613632504
-52.2,16169.8689647812
-52.19,16169.9765663119
-52.18,16170.0841678427
-52.17,16170.1917693734
-52.16,16170.299324248
-52.15,16170.4068466162
-52.14,16170.5143689844
-52.13,16170.6218913526
-52.12,16170.7294137208
-52.11,16170.836936089
-52.1,16170.9444584572
-52.09,16171.0519808253
-52.08,16171.1595031935
-52.07,16171.2670252814
-52.06,16171.3744692993
-52.05,16171.4819133172
-52.04,16171.5893573351
-52.03,16171.696801353
-52.02,16171.804245371
-52.01,16171.9116893889
-52,16172.0191334068
-51.99,16172.1265774247
-51.98,16172.2340214426
-51.97,16172.3414330657
-51.96,16172.4487995439
-51.95,16172.5561660221
-51.94,16172.6635325003
-51.93,16172.7708989785
-51.92,16172.8782654568
-51.91,16172.985631935
-51.9,16173.0929984132
-51.89,16173.2003648914
-51.88,16173.3077313696
-51.87,16173.4150340086
-51.86,16173.522323756
-51.85,16173.6296135035
-51.84,16173.7369032509
-51.83,16173.8441929983
-51.82,16173.9514827457
-51.81,16174.0587724932
-51.8,16174.1660622406
-51.79,16174.273351988
-51.78,16174.3806230435
-51.77,16174.4878368673
-51.76,16174.5950506912
-51.75,16174.7022645151
-51.74,16174.809478339
-51.73,16174.9166921629
-51.72,16175.0239059868
-51.71,16175.1311198107
-51.7,16175.2383336346
-51.69,16175.3455474585
-51.68,16175.4527116745
-51.67,16175.5598503805
-51.66,16175.6669890864
-51.65,16175.7741277924
-51.64,16175.8812664984
-51.63,16175.9884052044
-51.62,16176.0955439104
-51.61,16176.2026826164
-51.6,16176.3098213224
-51.59,16176.4169544841
-51.58,16176.5240188761
-51.57,16176.6310832682
-51.56,16176.7381476603
-51.55,16176.8452120524
-51.54,16176.9522764444
-51.53,16177.0593408365
-51.52,16177.1664052286
-51.51,16177.2734696207
-51.5,16177.3805340128
-51.49,16177.4875624715
-51.48,16177.5945533521
-51.47,16177.7015442327
-51.46,16177.8085351133
-51.45,16177.9155259938
-51.44,16178.0225168744
-51.43,16178.129507755
-51.42,16178.2364986356
-51.41,16178.3434895161
-51.4,16178.4504803967
-51.39,16178.5574056183
-51.38,16178.6643237881
-51.37,16178.771241958
-51.36,16178.8781601279
-51.35,16178.9850782978
-51.34,16179.0919964677
-51.33,16179.1989146376
-51.32,16179.3058328075
