"Time","Left.Cerebral.White.Matter"
-52.64,218074.739987528
-52.63,218074.978286047
-52.62,218075.216584566
-52.61,218075.454883084
-52.6,218075.693181603
-52.59,218075.931480122
-52.58,218076.16977864
-52.57,218076.408077159
-52.56,218076.646375678
-52.55,218076.884674196
-52.54,218077.125085456
-52.53,218077.365649528
-52.52,218077.6062136
-52.51,218077.846777671
-52.5,218078.087341743
-52.49,218078.327905815
-52.48,218078.568469887
-52.47,218078.809033959
-52.46,218079.049598031
-52.45,218079.290951443
-52.44,218079.533791877
-52.43,218079.776632311
-52.42,218080.019472745
-52.41,218080.262313179
-52.4,218080.505153613
-52.39,218080.747994048
-52.38,218080.990834482
-52.37,218081.233674916
-52.36,218081.47651535
-52.35,218081.721096156
-52.34,218081.966223661
-52.33,218082.211351167
-52.32,218082.456478672
-52.31,218082.701606178
-52.3,218082.946733683
-52.29,218083.191861189
-52.28,218083.436988694
-52.27,218083.6821162
-52.26,218083.927646182
-52.25,218084.175071366
-52.24,218084.42249655
-52.23,218084.669921734
-52.22,218084.917346918
-52.21,218085.164772102
-52.2,218085.412197286
-52.19,218085.65962247
-52.18,218085.907047653
-52.17,218086.154472837
-52.16,218086.403258399
-52.15,218086.652991764
-52.14,218086.902725129
-52.13,218087.152458494
-52.12,218087.402191859
-52.11,218087.651925224
-52.1,218087.901658588
-52.09,218088.151391953
-52.08,218088.401125318
-52.07,218088.650866979
-52.06,218088.90291892
-52.05,218089.154970861
-52.04,218089.407022802
-52.03,218089.659074744
-52.02,218089.911126685
-52.01,218090.163178626
-52,218090.415230568
-51.99,218090.667282509
-51.98,218090.91933445
-51.97,218091.172359352
-51.96,218091.426740156
-51.95,218091.68112096
-51.94,218091.935501764
-51.93,218092.189882568
-51.92,218092.444263372
-51.91,218092.698644175
-51.9,218092.953024979
-51.89,218093.207405783
-51.88,218093.461786587
-51.87,218093.718113445
-51.86,218093.974833286
-51.85,218094.231553127
-51.84,218094.488272968
-51.83,218094.744992809
-51.82,218095.00171265
-51.81,218095.258432491
-51.8,218095.515152332
-51.79,218095.771872173
-51.78,218096.029170349
-51.77,218096.288239288
-51.76,218096.547308226
-51.75,218096.806377165
-51.74,218097.065446103
-51.73,218097.324515042
-51.72,218097.58358398
-51.71,218097.842652919
