"Time","Left.Cortex"
-52.64,259402.348188795
-52.63,259399.63159043
-52.62,259396.914992064
-52.61,259394.198393699
-52.6,259391.481795333
-52.59,259388.765196968
-52.58,259386.048598602
-52.57,259383.332000237
-52.56,259380.615401871
-52.55,259377.898803506
-52.54,259375.186995975
-52.53,259372.47553496
-52.52,259369.764073946
-52.51,259367.052612931
-52.5,259364.341151916
-52.49,259361.629690902
-52.48,259358.918229887
-52.47,259356.206768873
-52.46,259353.495307858
-52.45,259350.785620827
-52.44,259348.079275765
-52.43,259345.372930704
-52.42,259342.666585642
-52.41,259339.960240581
-52.4,259337.253895519
-52.39,259334.547550457
-52.38,259331.841205396
-52.37,259329.134860334
-52.36,259326.428515272
-52.35,259323.726047033
-52.34,259321.024796611
-52.33,259318.323546189
-52.32,259315.622295767
-52.31,259312.921045345
-52.3,259310.219794923
-52.29,259307.518544501
-52.28,259304.817294079
-52.27,259302.116043657
-52.26,259299.415681927
-52.25,259296.719504915
-52.24,259294.023327903
-52.23,259291.327150892
-52.22,259288.63097388
-52.21,259285.934796868
-52.2,259283.238619857
-52.19,259280.542442845
-52.18,259277.846265833
-52.17,259275.150088822
-52.16,259272.456889474
-52.15,259269.765764727
-52.14,259267.07463998
-52.13,259264.383515233
-52.12,259261.692390486
-52.11,259259.001265739
-52.1,259256.310140992
-52.09,259253.619016245
-52.08,259250.927891498
-52.07,259248.236784752
-52.06,259245.550691207
-52.05,259242.864597662
-52.04,259240.178504117
-52.03,259237.492410572
-52.02,259234.806317028
-52.01,259232.120223483
-52,259229.434129938
-51.99,259226.748036393
-51.98,259224.061942848
-51.97,259221.377942492
-51.96,259218.696859169
-51.95,259216.015775847
-51.94,259213.334692524
-51.93,259210.653609202
-51.92,259207.972525879
-51.91,259205.291442557
-51.9,259202.610359234
-51.89,259199.929275912
-51.88,259197.24819259
-51.87,259194.571260332
-51.86,259191.895166334
-51.85,259189.219072337
-51.84,259186.54297834
-51.83,259183.866884342
-51.82,259181.190790345
-51.81,259178.514696348
-51.8,259175.83860235
-51.79,259173.162508353
-51.78,259170.487637577
-51.77,259167.816512089
-51.76,259165.145386602
-51.75,259162.474261114
-51.74,259159.803135626
-51.73,259157.132010139
-51.72,259154.460884651
-51.71,259151.789759163
-51.7,259149.118633676
-51.69,259146.447508188
-51.68,259143.779650214
-51.67,259141.113472502
-51.66,259138.44729479
-51.65,259135.781117078
-51.64,259133.114939366
-51.63,259130.448761654
-51.62,259127.782583942
-51.61,259125.11640623
-51.6,259122.450228518
-51.59,259119.7844184
-51.58,259117.123167811
-51.57,259114.461917222
-51.56,259111.800666633
-51.55,259109.139416044
-51.54,259106.478165455
-51.53,259103.816914866
-51.52,259101.155664277
-51.51,259098.494413688
-51.5,259095.833163099
-51.49,259093.17431089
-51.48,259090.517966851
-51.47,259087.861622813
-51.46,259085.205278775
-51.45,259082.548934736
-51.44,259079.892590698
-51.43,259077.23624666
-51.42,259074.579902621
-51.41,259071.923558583
