"Time","Left.Lateral.Ventricle"
-52.64,22808.2631057252
-52.63,22809.1683763463
-52.62,22810.0736469674
-52.61,22810.9789175884
-52.6,22811.8841882095
-52.59,22812.7894588306
-52.58,22813.6947294517
-52.57,22814.6000000728
-52.56,22815.5052706939
-52.55,22816.410541315
-52.54,22817.3162833043
-52.53,22818.2220593872
-52.52,22819.1278354701
-52.51,22820.033611553
-52.5,22820.9393876358
-52.49,22821.8451637187
-52.48,22822.7509398016
-52.47,22823.6567158845
-52.46,22824.5624919674
-52.45,22825.4684436591
-52.44,22826.3747261762
-52.43,22827.2810086934
-52.42,22828.1872912106
-52.41,22829.0935737277
-52.4,22829.9998562449
-52.39,22830.9061387621
-52.38,22831.8124212793
-52.37,22832.7187037964
-52.36,22833.6249863136
-52.35,22834.5316549485
-52.34,22835.4384448738
-52.33,22836.3452347991
-52.32,22837.2520247243
-52.31,22838.1588146496
-52.3,22839.0656045749
-52.29,22839.9723945001
-52.28,22840.8791844254
-52.27,22841.7859743507
-52.26,22842.6928533277
-52.25,22843.6001516362
-52.24,22844.5074499447
-52.23,22845.4147482532
-52.22,22846.3220465616
-52.21,22847.2293448701
-52.2,22848.1366431786
-52.19,22849.0439414871
-52.18,22849.9512397956
-52.17,22850.8585381041
-52.16,22851.766136615
-52.15,22852.6739442831
-52.14,22853.5817519513
-52.13,22854.4895596194
-52.12,22855.3973672876
-52.11,22856.3051749557
-52.1,22857.2129826239
-52.09,22858.120790292
-52.08,22859.0285979602
-52.07,22859.9364074543
-52.06,22860.8447254598
-52.05,22861.7530434654
-52.04,22862.661361471
-52.03,22863.5696794766
-52.02,22864.4779974822
-52.01,22865.3863154878
-52,22866.2946334933
-51.99,22867.2029514989
-51.98,22868.1112695045
-51.97,22869.0198011297
-51.96,22869.9286304518
-51.95,22870.8374597739
-51.94,22871.746289096
-51.93,22872.6551184182
-51.92,22873.5639477403
-51.91,22874.4727770624
-51.9,22875.3816063845
-51.89,22876.2904357066
-51.88,22877.1992650287
-51.87,22878.1085205764
-51.86,22879.0178621954
-51.85,22879.9272038145
-51.84,22880.8365454336
-51.83,22881.7458870526
-51.82,22882.6552286717
-51.81,22883.5645702908
-51.8,22884.4739119099
-51.79,22885.3832535289
-51.78,22886.2927215146
-51.77,22887.2025764124
-51.76,22888.1124313101
-51.75,22889.0222862079
-51.74,22889.9321411057
-51.73,22890.8419960035
-51.72,22891.7518509013
-51.71,22892.6617057991
-51.7,22893.5715606969
-51.69,22894.4814155947
-51.68,22895.3916101112
-51.67,22896.3019792708
-51.66,22897.2123484304
-51.65,22898.12271759
-51.64,22899.0330867496
-51.63,22899.9434559092
-51.62,22900.8538250688
-51.61,22901.7641942284
-51.6,22902.674563388
-51.59,22903.5849709882
-51.58,22904.4958553941
-51.57,22905.4067397999
-51.56,22906.3176242058
-51.55,22907.2285086116
-51.54,22908.1393930175
-51.53,22909.0502774233
-51.52,22909.9611618292
-51.51,22910.872046235
-51.5,22911.7829306409
-51.49,22912.6940673871
-51.48,22913.605468025
-51.47,22914.5168686628
-51.46,22915.4282693007
-51.45,22916.3396699386
-51.44,22917.2510705765
-51.43,22918.1624712144
-51.42,22919.0738718523
-51.41,22919.9852724902
-51.4,22920.896673128
-51.39,22921.8085408239
-51.38,22922.7204586809
-51.37,22923.6323765379
-51.36,22924.544294395
-51.35,22925.456212252
-51.34,22926.3681301091
-51.33,22927.2800479661
-51.32,22928.1919658231
-51.31,22929.1038836802
-51.3,22930.0159659247
-51.29,22930.9284019893
-51.28,22931.840838054
-51.27,22932.7532741187
-51.26,22933.6657101833
-51.25,22934.578146248
-51.24,22935.4905823127
-51.23,22936.4030183773
-51.22,22937.315454442
-51.21,22938.2278905067
-51.2,22939.1407063273
-51.19,22940.0536615894
-51.18,22940.9666168515
-51.17,22941.8795721136
-51.16,22942.7925273757
-51.15,22943.7054826379
-51.14,22944.6184379
-51.13,22945.5313931621
-51.12,22946.4443484242
-51.11,22947.3573794437
-51.1,22948.2708548944
-51.09,22949.1843303452
-51.08,22950.0978057959
-51.07,22951.0112812467
-51.06,22951.9247566974
-51.05,22952.8382321481
-51.04,22953.7517075989
-51.03,22954.6651830496
-51.02,22955.5786585004
-51.01,22956.4924257292
-51,22957.4064223611
-50.99,22958.320418993
-50.98,22959.2344156249
-50.97,22960.1484122568
-50.96,22961.0624088888
-50.95,22961.9764055207
-50.94,22962.8904021526
-50.93,22963.8043987845
-50.92,22964.7183954164
-50.91,22965.6329006707
-50.9,22966.5474194776
-50.89,22967.4619382846
-50.88,22968.3764570916
-50.87,22969.2909758985
-50.86,22970.2054947055
-50.85,22971.1200135125
-50.84,22972.0345323194
-50.83,22972.9490511264
-50.82,22973.8637730549
-50.81,22974.7788150322
-50.8,22975.6938570095
-50.79,22976.6088989868
-50.78,22977.5239409641
-50.77,22978.4389829413
-50.76,22979.3540249186
-50.75,22980.2690668959
-50.74,22981.1841088732
-50.73,22982.0991508505
-50.72,22983.0146134492
-50.71,22983.9301795934
-50.7,22984.8457457376
-50.69,22985.7613118819
-50.68,22986.6768780261
-50.67,22987.5924441703
-50.66,22988.5080103145
-50.65,22989.4235764588
-50.64,22990.339142603
-50.63,22991.2548225309
-50.62,22992.17091384
-50.61,22993.0870051492
-50.6,22994.0030964583
-50.59,22994.9191877675
-50.58,22995.8352790767
-50.57,22996.7513703858
-50.56,22997.667461695
-50.55,22998.5835530042
-50.54,22999.4996443133
-50.53,23000.4160675629
-50.52,23001.3326850363
-50.51,23002.2493025098
-50.5,23003.1659199833
-50.49,23004.0825374567
-50.48,23004.9991549302
-50.47,23005.9157724037
-50.46,23006.8323898771
-50.45,23007.7490073506
-50.44,23008.6656485855
-50.43,23009.582793224
-50.42,23010.4999378625
-50.41,23011.4170825011
-50.4,23012.3342271396
-50.39,23013.2513717781
-50.38,23014.1685164166
-50.37,23015.0856610551
