"Time","Left.Putamen"
-52.64,3782.87201185427
-52.63,3782.87201148343
-52.62,3782.87201111259
-52.61,3782.87201074175
-52.6,3782.87201037091
-52.59,3782.87201000007
-52.58,3782.87200962922
-52.57,3782.87200925838
-52.56,3782.87200888754
-52.55,3782.8720085167
-52.54,3782.87200812952
-52.53,3782.87200774117
-52.52,3782.87200735281
-52.51,3782.87200696445
-52.5,3782.87200657609
-52.49,3782.87200618774
-52.48,3782.87200579938
-52.47,3782.87200541102
-52.46,3782.87200502266
-52.45,3782.87200462796
-52.44,3782.87200422129
-52.43,3782.87200381463
-52.42,3782.87200340796
-52.41,3782.8720030013
-52.4,3782.87200259463
-52.39,3782.87200218796
-52.38,3782.8720017813
-52.37,3782.87200137463
-52.36,3782.87200096797
-52.35,3782.87200054674
-52.34,3782.87200012094
-52.33,3782.87199969514
-52.32,3782.87199926934
-52.31,3782.87199884354
-52.3,3782.87199841774
-52.29,3782.87199799194
-52.28,3782.87199756614
-52.27,3782.87199714034
-52.26,3782.87199671103
-52.25,3782.87199626524
-52.24,3782.87199581944
-52.23,3782.87199537364
-52.22,3782.87199492785
-52.21,3782.87199448205
-52.2,3782.87199403625
-52.19,3782.87199359046
-52.18,3782.87199314466
-52.17,3782.87199269886
-52.16,3782.87199224075
-52.15,3782.87199177406
-52.14,3782.87199130737
-52.13,3782.87199084068
-52.12,3782.87199037399
-52.11,3782.87198990729
-52.1,3782.8719894406
-52.09,3782.87198897391
-52.08,3782.87198850722
-52.07,3782.87198804045
-52.06,3782.87198755192
-52.05,3782.8719870634
-52.04,3782.87198657488
-52.03,3782.87198608635
-52.02,3782.87198559783
-52.01,3782.8719851093
-52,3782.87198462078
-51.99,3782.87198413226
-51.98,3782.87198364373
-51.97,3782.87198314568
-51.96,3782.87198263435
-51.95,3782.87198212301
-51.94,3782.87198161168
-51.93,3782.87198110035
-51.92,3782.87198058901
-51.91,3782.87198007768
-51.9,3782.87197956635
-51.89,3782.87197905501
-51.88,3782.87197854368
-51.87,3782.87197801252
-51.86,3782.87197747736
-51.85,3782.8719769422
-51.84,3782.87197640704
-51.83,3782.87197587188
-51.82,3782.87197533671
-51.81,3782.87197480155
-51.8,3782.87197426639
-51.79,3782.87197373123
-51.78,3782.87197318994
-51.77,3782.87197262989
-51.76,3782.87197206984
-51.75,3782.87197150979
-51.74,3782.87197094973
-51.73,3782.87197038968
-51.72,3782.87196982963
-51.71,3782.87196926958
-51.7,3782.87196870953
-51.69,3782.87196814948
-51.68,3782.87196757226
-51.67,3782.87196698621
-51.66,3782.87196640016
-51.65,3782.87196581411
-51.64,3782.87196522806
-51.63,3782.87196464202
-51.62,3782.87196405597
-51.61,3782.87196346992
-51.6,3782.87196288387
-51.59,3782.8719622958
-51.58,3782.8719616826
-51.57,3782.8719610694
-51.56,3782.8719604562
-51.55,3782.871959843
-51.54,3782.8719592298
-51.53,3782.8719586166
-51.52,3782.8719580034
-51.51,3782.8719573902
-51.5,3782.871956777
-51.49,3782.87195614995
-51.48,3782.87195550839
-51.47,3782.87195486684
-51.46,3782.87195422529
-51.45,3782.87195358374
-51.44,3782.87195294218
-51.43,3782.87195230063
-51.42,3782.87195165908
-51.41,3782.87195101753
-51.4,3782.87195037598
-51.39,3782.87194970769
-51.38,3782.87194903653
