"Time","Left.Ventral.DC"
-52.64,4329.05160748542
-52.63,4329.05160748543
-52.62,4329.05160748545
-52.61,4329.05160748547
-52.6,4329.05160748549
-52.59,4329.0516074855
-52.58,4329.05160748552
-52.57,4329.05160748554
-52.56,4329.05160748555
-52.55,4329.05160748557
-52.54,4329.05160748559
-52.53,4329.05160748561
-52.52,4329.05160748563
-52.51,4329.05160748564
-52.5,4329.05160748566
-52.49,4329.05160748568
-52.48,4329.0516074857
-52.47,4329.05160748572
-52.46,4329.05160748573
-52.45,4329.05160748575
-52.44,4329.05160748577
-52.43,4329.05160748579
-52.42,4329.05160748581
-52.41,4329.05160748583
-52.4,4329.05160748585
-52.39,4329.05160748587
-52.38,4329.05160748589
-52.37,4329.05160748591
-52.36,4329.05160748593
-52.35,4329.05160748595
-52.34,4329.05160748597
-52.33,4329.05160748599
-52.32,4329.05160748601
-52.31,4329.05160748603
-52.3,4329.05160748605
-52.29,4329.05160748607
-52.28,4329.05160748609
-52.27,4329.05160748611
-52.26,4329.05160748614
-52.25,4329.05160748616
-52.24,4329.05160748618
-52.23,4329.0516074862
-52.22,4329.05160748622
-52.21,4329.05160748625
-52.2,4329.05160748627
-52.19,4329.05160748629
-52.18,4329.05160748631
-52.17,4329.05160748634
-52.16,4329.05160748636
-52.15,4329.05160748638
-52.14,4329.05160748641
-52.13,4329.05160748643
-52.12,4329.05160748645
-52.11,4329.05160748648
-52.1,4329.0516074865
-52.09,4329.05160748652
-52.08,4329.05160748655
-52.07,4329.05160748657
-52.06,4329.0516074866
-52.05,4329.05160748662
-52.04,4329.05160748665
-52.03,4329.05160748667
-52.02,4329.0516074867
-52.01,4329.05160748672
-52,4329.05160748675
-51.99,4329.05160748677
-51.98,4329.0516074868
-51.97,4329.05160748683
-51.96,4329.05160748685
-51.95,4329.05160748688
-51.94,4329.05160748691
-51.93,4329.05160748693
-51.92,4329.05160748696
-51.91,4329.05160748699
-51.9,4329.05160748701
-51.89,4329.05160748704
-51.88,4329.05160748707
-51.87,4329.0516074871
-51.86,4329.05160748713
-51.85,4329.05160748716
-51.84,4329.05160748718
-51.83,4329.05160748721
-51.82,4329.05160748724
-51.81,4329.05160748727
-51.8,4329.0516074873
-51.79,4329.05160748733
-51.78,4329.05160748736
-51.77,4329.05160748739
-51.76,4329.05160748742
-51.75,4329.05160748745
-51.74,4329.05160748748
-51.73,4329.05160748751
-51.72,4329.05160748754
-51.71,4329.05160748757
-51.7,4329.05160748761
-51.69,4329.05160748764
-51.68,4329.05160748767
-51.67,4329.0516074877
-51.66,4329.05160748774
-51.65,4329.05160748777
-51.64,4329.0516074878
-51.63,4329.05160748783
-51.62,4329.05160748787
-51.61,4329.0516074879
-51.6,4329.05160748793
-51.59,4329.05160748797
-51.58,4329.051607488
-51.57,4329.05160748804
-51.56,4329.05160748807
-51.55,4329.05160748811
-51.54,4329.05160748814
-51.53,4329.05160748818
-51.52,4329.05160748821
-51.51,4329.05160748825
-51.5,4329.05160748828
-51.49,4329.05160748832
-51.48,4329.05160748836
-51.47,4329.0516074884
-51.46,4329.05160748843
-51.45,4329.05160748847
-51.44,4329.05160748851
-51.43,4329.05160748855
-51.42,4329.05160748858
-51.41,4329.05160748862
-51.4,4329.05160748866
-51.39,4329.0516074887
-51.38,4329.05160748874
-51.37,4329.05160748878
-51.36,4329.05160748882
-51.35,4329.05160748886
-51.34,4329.0516074889
-51.33,4329.05160748894
-51.32,4329.05160748898
-51.31,4329.05160748902
-51.3,4329.05160748906
-51.29,4329.05160748911
-51.28,4329.05160748915
-51.27,4329.05160748919
-51.26,4329.05160748923
-51.25,4329.05160748928
-51.24,4329.05160748932
-51.23,4329.05160748936
-51.22,4329.05160748941
-51.21,4329.05160748945
-51.2,4329.05160748949
-51.19,4329.05160748954
-51.18,4329.05160748959
-51.17,4329.05160748963
-51.16,4329.05160748968
-51.15,4329.05160748972
-51.14,4329.05160748977
-51.13,4329.05160748982
-51.12,4329.05160748986
-51.11,4329.05160748991
-51.1,4329.05160748996
-51.09,4329.05160749001
-51.08,4329.05160749006
-51.07,4329.0516074901
-51.06,4329.05160749015
-51.05,4329.0516074902
-51.04,4329.05160749025
-51.03,4329.0516074903
-51.02,4329.05160749035
-51.01,4329.0516074904
-51,4329.05160749045
-50.99,4329.0516074905
-50.98,4329.05160749056
-50.97,4329.05160749061
-50.96,4329.05160749066
-50.95,4329.05160749071
-50.94,4329.05160749077
-50.93,4329.05160749082
-50.92,4329.05160749087
-50.91,4329.05160749093
-50.9,4329.05160749098
-50.89,4329.05160749104
-50.88,4329.05160749109
-50.87,4329.05160749115
-50.86,4329.05160749121
-50.85,4329.05160749126
-50.84,4329.05160749132
-50.83,4329.05160749137
-50.82,4329.05160749143
-50.81,4329.05160749149
-50.8,4329.05160749155
-50.79,4329.05160749161
-50.78,4329.05160749167
-50.77,4329.05160749173
-50.76,4329.05160749179
-50.75,4329.05160749185
-50.74,4329.05160749191
-50.73,4329.05160749197
-50.72,4329.05160749203
-50.71,4329.05160749209
-50.7,4329.05160749216
-50.69,4329.05160749222
-50.68,4329.05160749228
-50.67,4329.05160749235
-50.66,4329.05160749241
-50.65,4329.05160749247
-50.64,4329.05160749254
-50.63,4329.0516074926
-50.62,4329.05160749267
-50.61,4329.05160749274
-50.6,4329.05160749281
-50.59,4329.05160749287
-50.58,4329.05160749294
-50.57,4329.05160749301
-50.56,4329.05160749308
-50.55,4329.05160749314
-50.54,4329.05160749321
