"Time","P_D1D2"
-46.17,-298495.225096507
-46.16,-298419.017712124
-46.15,-298342.81032774
-46.14,-298266.602943357
-46.13,-298190.395558974
-46.12,-298114.188174591
-46.11,-298037.980790207
-46.1,-297961.773405824
-46.09,-297885.566021441
-46.08,-297809.358637058
-46.07,-297733.151252674
-46.06,-297656.822770045
-46.05,-297580.344763523
-46.04,-297503.866757001
-46.03,-297427.388750479
-46.02,-297350.910743958
-46.01,-297274.432737436
-46,-297197.954730914
-45.99,-297121.476724392
-45.98,-297044.99871787
-45.97,-296968.520711349
-45.96,-296892.042704827
-45.95,-296815.481175549
-45.94,-296738.732061248
-45.93,-296661.982946947
-45.92,-296585.233832646
-45.91,-296508.484718345
-45.9,-296431.735604044
-45.89,-296354.986489743
-45.88,-296278.237375442
-45.87,-296201.488261141
-45.86,-296124.739146839
-45.85,-296047.990032538
-45.84,-295971.195106647
-45.83,-295894.174400569
-45.82,-295817.15369449
-45.81,-295740.132988412
-45.8,-295663.112282334
-45.79,-295586.091576256
-45.78,-295509.070870178
-45.77,-295432.050164099
-45.76,-295355.029458021
-45.75,-295278.008751943
-45.74,-295200.988045865
-45.73,-295123.95937435
-45.72,-295046.666594154
-45.71,-294969.373813959
-45.7,-294892.081033763
-45.69,-294814.788253567
-45.68,-294737.495473371
-45.67,-294660.202693176
-45.66,-294582.90991298
-45.65,-294505.617132784
-45.64,-294428.324352589
-45.63,-294351.031572393
-45.62,-294273.738792197
-45.61,-294196.203472227
-45.6,-294118.638137246
-45.59,-294041.072802265
-45.58,-293963.507467284
-45.57,-293885.942132303
-45.56,-293808.376797322
-45.55,-293730.811462341
-45.54,-293653.24612736
-45.53,-293575.680792379
-45.52,-293498.115457398
-45.51,-293420.550122417
-45.5,-293342.779882719
-45.49,-293264.941513972
-45.48,-293187.103145225
-45.47,-293109.264776478
-45.46,-293031.426407731
-45.45,-292953.588038984
-45.44,-292875.749670237
-45.43,-292797.91130149
-45.42,-292720.072932743
-45.41,-292642.234563996
-45.4,-292564.396195249
-45.39,-292486.390691425
-45.38,-292408.278811634
-45.37,-292330.166931842
-45.36,-292252.055052051
-45.35,-292173.94317226
-45.34,-292095.831292469
-45.33,-292017.719412677
-45.32,-291939.607532886
-45.31,-291861.495653095
-45.3,-291783.383773303
-45.29,-291705.271893512
-45.28,-291627.030782159
-45.27,-291548.644915762
-45.26,-291470.259049365
-45.25,-291391.873182968
-45.24,-291313.487316571
-45.23,-291235.101450174
-45.22,-291156.715583777
-45.21,-291078.32971738
-45.2,-290999.943850983
-45.19,-290921.557984586
-45.18,-290843.172118189
-45.17,-290764.695056909
-45.16,-290686.034730076
-45.15,-290607.374403244
-45.14,-290528.714076412
-45.13,-290450.05374958
-45.12,-290371.393422748
-45.11,-290292.733095916
-45.1,-290214.072769084
-45.09,-290135.412442252
-45.08,-290056.75211542
-45.07,-289978.091788588
-45.06,-289899.378435992
-45.05,-289820.443176643
-45.04,-289741.507917293
-45.03,-289662.572657943
-45.02,-289583.637398593
-45.01,-289504.702139243
-45,-289425.766879893
-44.99,-289346.831620543
-44.98,-289267.896361193
-44.97,-289188.961101843
-44.96,-289110.025842494
-44.95,-289031.075858213
-44.94,-288951.865196025
-44.93,-288872.654533836
-44.92,-288793.443871647
-44.91,-288714.233209459
-44.9,-288635.02254727
-44.89,-288555.811885082
-44.88,-288476.601222893
-44.87,-288397.390560704
-44.86,-288318.179898516
-44.85,-288238.969236327
-44.84,-288159.758574138
-44.83,-288080.295747443
-44.82,-288000.809213871
-44.81,-287921.3226803
-44.8,-287841.836146728
-44.79,-287762.349613156
-44.78,-287682.863079584
-44.77,-287603.376546013
-44.76,-287523.890012441
-44.75,-287444.403478869
-44.74,-287364.916945298
-44.73,-287285.430411726
-44.72,-287205.729808929
-44.71,-287125.966937222
-44.7,-287046.204065514
-44.69,-286966.441193806
-44.68,-286886.678322099
-44.67,-286806.915450391
-44.66,-286727.152578683
-44.65,-286647.389706975
-44.64,-286567.626835268
-44.63,-286487.86396356
-44.62,-286408.101091853
-44.61,-286328.162377481
-44.6,-286248.122702691
-44.59,-286168.083027901
-44.58,-286088.043353111
-44.57,-286008.003678321
-44.56,-285927.964003531
-44.55,-285847.924328742
-44.54,-285767.884653951
-44.53,-285687.844979161
-44.52,-285607.805304371
-44.51,-285527.765629582
-44.5,-285447.588469221
-44.49,-285367.271528224
-44.48,-285286.954587226
-44.47,-285206.637646229
-44.46,-285126.320705232
-44.45,-285046.003764234
-44.44,-284965.686823237
-44.43,-284885.369882239
