"Time","Right.Cerebellum.Exterior"
-52.64,49879.5667957457
-52.63,49878.312652376
-52.62,49877.0585090064
-52.61,49875.8043656367
-52.6,49874.550222267
-52.59,49873.2960788973
-52.58,49872.0419355277
-52.57,49870.787792158
-52.56,49869.5336487883
-52.55,49868.2795054186
-52.54,49867.0462005299
-52.53,49865.8144028669
-52.52,49864.5826052039
-52.51,49863.3508075409
-52.5,49862.1190098779
-52.49,49860.8872122149
-52.48,49859.6554145519
-52.47,49858.4236168889
-52.46,49857.1918192259
-52.45,49855.9676161268
-52.44,49854.7577202597
-52.43,49853.5478243926
-52.42,49852.3379285255
-52.41,49851.1280326584
-52.4,49849.9181367913
-52.39,49848.7082409242
-52.38,49847.4983450571
-52.37,49846.2884491899
-52.36,49845.0785533228
-52.35,49843.8849933243
-52.34,49842.6965648775
-52.33,49841.5081364306
-52.32,49840.3197079838
-52.31,49839.131279537
-52.3,49837.9428510901
-52.29,49836.7544226433
-52.28,49835.5659941964
-52.27,49834.3775657496
-52.26,49833.1928232218
-52.25,49832.0254371365
-52.24,49830.8580510512
-52.23,49829.690664966
-52.22,49828.5232788807
-52.21,49827.3558927954
-52.2,49826.1885067101
-52.19,49825.0211206249
-52.18,49823.8537345396
-52.17,49822.6863484543
-52.16,49821.531119001
-52.15,49820.3843593226
-52.14,49819.2375996442
-52.13,49818.0908399658
-52.12,49816.9440802873
-52.11,49815.7973206089
-52.1,49814.6505609305
-52.09,49813.5038012521
-52.08,49812.3570415737
-52.07,49811.2103542382
-52.06,49810.0838139081
-52.05,49808.9572735781
-52.04,49807.830733248
-52.03,49806.7041929179
-52.02,49805.5776525878
-52.01,49804.4511122577
-52,49803.3245719276
-51.99,49802.1980315975
-51.98,49801.0714912674
-51.97,49799.9532318182
-51.96,49798.8465124713
-51.95,49797.7397931244
-51.94,49796.6330737774
-51.93,49795.5263544305
-51.92,49794.4196350836
-51.91,49793.3129157366
-51.9,49792.2061963897
-51.89,49791.0994770428
-51.88,49789.9927576959
-51.87,49788.9022048257
-51.86,49787.8149165921
-51.85,49786.7276283586
-51.84,49785.6403401251
-51.83,49784.5530518916
-51.82,49783.4657636581
-51.81,49782.3784754246
-51.8,49781.2911871911
-51.79,49780.2038989576
-51.78,49779.1213006245
-51.77,49778.0530619369
-51.76,49776.9848232494
-51.75,49775.9165845619
-51.74,49774.8483458743
-51.73,49773.7801071868
-51.72,49772.7118684993
-51.71,49771.6436298117
-51.7,49770.5753911242
-51.69,49769.5071524366
-51.68,49768.45124745
-51.67,49767.4016848547
-51.66,49766.3521222594
-51.65,49765.3025596641
-51.64,49764.2529970688
-51.63,49763.2034344735
-51.62,49762.1538718782
-51.61,49761.1043092829
-51.6,49760.0547466877
-51.59,49759.0065501737
-51.58,49757.9752981466
-51.57,49756.9440461195
-51.56,49755.9127940925
-51.55,49754.8815420654
-51.54,49753.8502900383
-51.53,49752.8190380113
-51.52,49751.7877859842
-51.51,49750.7565339571
-51.5,49749.72528193
-51.49,49748.702805441
-51.48,49747.6895062083
-51.47,49746.6762069755
-51.46,49745.6629077428
-51.45,49744.6496085101
-51.44,49743.6363092773
-51.43,49742.6230100446
-51.42,49741.6097108119
-51.41,49740.5964115792
-51.4,49739.5831123464
-51.39,49738.5857085647
-51.38,49737.5900119272
-51.37,49736.5943152897
-51.36,49735.5986186522
-51.35,49734.6029220147
-51.34,49733.6072253772
-51.33,49732.6115287397
-51.32,49731.6158321022
-51.31,49730.6201354647
-51.3,49729.6299140348
-51.29,49728.6514771971
-51.28,49727.6730403594
-51.27,49726.6946035217
-51.26,49725.7161666841
-51.25,49724.7377298464
-51.24,49723.7592930087
-51.23,49722.780856171
-51.22,49721.8024193333
-51.21,49720.8239824957
-51.2,49719.8579245348
-51.19,49718.8964119382
-51.18,49717.9348993415
-51.17,49716.9733867449
-51.16,49716.0118741483
-51.15,49715.0503615516
-51.14,49714.088848955
-51.13,49713.1273363583
-51.12,49712.1658237617
-51.11,49711.2067280784
-51.1,49710.2618112375
-51.09,49709.3168943967
-51.08,49708.3719775559
-51.07,49707.4270607151
-51.06,49706.4821438743
-51.05,49705.5372270334
-51.04,49704.5923101926
-51.03,49703.6473933518
-51.02,49702.702476511
-51.01,49701.7666706111
-51,49700.8380279553
-50.99,49699.9093852995
-50.98,49698.9807426437
-50.97,49698.0520999879
-50.96,49697.1234573321
-50.95,49696.1948146763
-50.94,49695.2661720205
-50.93,49694.3375293647
-50.92,49693.4088867089
-50.91,49692.4957892124
-50.9,49691.5831059298
-50.89,49690.6704226472
-50.88,49689.7577393646
-50.87,49688.845056082
-50.86,49687.9323727994
-50.85,49687.0196895168
-50.84,49686.1070062342
-50.83,49685.1943229516
-50.82,49684.2877162569
-50.81,49683.390684143
-50.8,49682.4936520291
-50.79,49681.5966199153
-50.78,49680.6995878014
-50.77,49679.8025556875
-50.76,49678.9055235737
-50.75,49678.0084914598
-50.74,49677.1114593459
-50.73,49676.214427232
