"Time","Right.Cerebellum.White.Matter"
-52.64,15738.5547691585
-52.63,15738.7118087272
-52.62,15738.8688482959
-52.61,15739.0258878646
-52.6,15739.1829274333
-52.59,15739.339967002
-52.58,15739.4970065706
-52.57,15739.6540461393
-52.56,15739.811085708
-52.55,15739.9681252767
-52.54,15740.1251174384
-52.53,15740.2821061711
-52.52,15740.4390949039
-52.51,15740.5960836366
-52.5,15740.7530723694
-52.49,15740.9100611022
-52.48,15741.0670498349
-52.47,15741.2240385677
-52.46,15741.3810273005
-52.45,15741.5379986968
-52.44,15741.6949374333
-52.43,15741.8518761699
-52.42,15742.0088149064
-52.41,15742.165753643
-52.4,15742.3226923795
-52.39,15742.4796311161
-52.38,15742.6365698526
-52.37,15742.7935085892
-52.36,15742.9504473257
-52.35,15743.1073486555
-52.34,15743.2642382347
-52.33,15743.421127814
-52.32,15743.5780173932
-52.31,15743.7349069725
-52.3,15743.8917965518
-52.29,15744.048686131
-52.28,15744.2055757103
-52.27,15744.3624652895
-52.26,15744.5193464049
-52.25,15744.676187665
-52.24,15744.8330289251
-52.23,15744.9898701852
-52.22,15745.1467114453
-52.21,15745.3035527054
-52.2,15745.4603939654
-52.19,15745.6172352255
-52.18,15745.7740764856
-52.17,15745.9309177457
-52.16,15746.0877310214
-52.15,15746.2445247997
-52.14,15746.401318578
-52.13,15746.5581123563
-52.12,15746.7149061347
-52.11,15746.871699913
-52.1,15747.0284936913
-52.09,15747.1852874696
-52.08,15747.3420812479
-52.07,15747.4988748593
-52.06,15747.6556219925
-52.05,15747.8123691257
-52.04,15747.9691162588
-52.03,15748.125863392
-52.02,15748.2826105251
-52.01,15748.4393576583
-52,15748.5961047914
-51.99,15748.7528519246
-51.98,15748.9095990577
-51.97,15749.0663270525
-51.96,15749.2230283764
-51.95,15749.3797297003
-51.94,15749.5364310242
-51.93,15749.6931323481
-51.92,15749.8498336719
-51.91,15750.0065349958
-51.9,15750.1632363197
-51.89,15750.3199376436
-51.88,15750.4766389675
-51.87,15750.6333028734
-51.86,15750.7899592231
-51.85,15750.9466155729
-51.84,15751.1032719226
-51.83,15751.2599282724
-51.82,15751.4165846222
-51.81,15751.5732409719
-51.8,15751.7298973217
-51.79,15751.8865536715
-51.78,15752.0431991543
-51.77,15752.1998113644
-51.76,15752.3564235745
-51.75,15752.5130357846
-51.74,15752.6696479947
-51.73,15752.8262602047
-51.72,15752.9828724148
-51.71,15753.1394846249
-51.7,15753.296096835
-51.69,15753.4527090451
-51.68,15753.609292656
-51.67,15753.7658615602
-51.66,15753.9224304643
-51.65,15754.0789993685
-51.64,15754.2355682727
-51.63,15754.3921371769
-51.62,15754.548706081
-51.61,15754.7052749852
-51.6,15754.8618438894
-51.59,15755.0184096248
-51.58,15755.1749360562
-51.57,15755.3314624875
-51.56,15755.4879889188
-51.55,15755.6445153501
-51.54,15755.8010417815
-51.53,15755.9575682128
-51.52,15756.1140946441
-51.51,15756.2706210754
-51.5,15756.4271475068
-51.49,15756.5836535837
-51.48,15756.7401383746
-51.47,15756.8966231655
-51.46,15757.0531079563
-51.45,15757.2095927472
-51.44,15757.3660775381
-51.43,15757.5225623289
-51.42,15757.6790471198
-51.41,15757.8355319107
-51.4,15757.9920167015
-51.39,15758.1484646414
-51.38,15758.3049086235
-51.37,15758.4613526057
-51.36,15758.6177965878
-51.35,15758.77424057
-51.34,15758.9306845521
-51.33,15759.0871285342
-51.32,15759.2435725164
-51.31,15759.4000164985
-51.3,15759.5564477988
-51.29,15759.7128518033
-51.28,15759.8692558078
-51.27,15760.0256598124
-51.26,15760.1820638169
-51.25,15760.3384678214
-51.24,15760.4948718259
-51.23,15760.6512758304
-51.22,15760.8076798349
-51.21,15760.9640838394
-51.2,15761.1204592105
-51.19,15761.2768240679
-51.18,15761.4331889252
-51.17,15761.5895537825
-51.16,15761.7459186399
-51.15,15761.9022834972
-51.14,15762.0586483545
-51.13,15762.2150132118
-51.12,15762.3713780692
-51.11,15762.5277373462
-51.1,15762.6840638862
-51.09,15762.8403904262
-51.08,15762.9967169662
-51.07,15763.1530435062
-51.06,15763.3093700462
-51.05,15763.4656965862
-51.04,15763.6220231262
-51.03,15763.7783496661
-51.02,15763.9346762061
-51.01,15764.0909817588
-51,15764.2472708107
-50.99,15764.4035598626
-50.98,15764.5598489145
-50.97,15764.7161379664
-50.96,15764.8724270183
-50.95,15765.0287160702
-50.94,15765.1850051221
-50.93,15765.341294174
-50.92,15765.4975832258
-50.91,15765.6538365698
-50.9,15765.8100889622
-50.89,15765.9663413546
-50.88,15766.1225937471
-50.87,15766.2788461395
-50.86,15766.4350985319
-50.85,15766.5913509244
-50.84,15766.7476033168
-50.83,15766.9038557092
-50.82,15767.0600941901
-50.81,15767.2163107511
-50.8,15767.3725273122
-50.79,15767.5287438732
-50.78,15767.6849604343
-50.77,15767.8411769953
-50.76,15767.9973935563
-50.75,15768.1536101174
-50.74,15768.3098266784
-50.73,15768.4660432395
-50.72,15768.6222317114
-50.71,15768.7784132685
-50.7,15768.9345948257
-50.69,15769.0907763828
-50.68,15769.24695794
-50.67,15769.4031394971
-50.66,15769.5593210543
-50.65,15769.7155026114
-50.64,15769.8716841685
-50.63,15770.0278583208
-50.62,15770.184005701
-50.61,15770.3401530812
-50.6,15770.4963004614
-50.59,15770.6524478416
-50.58,15770.8085952218
-50.57,15770.964742602
-50.56,15771.1208899822
-50.55,15771.2770373624
-50.54,15771.4331847426
-50.53,15771.589311083
-50.52,15771.7454251126
-50.51,15771.9015391423
-50.5,15772.0576531719
-50.49,15772.2137672015
-50.48,15772.3698812312
-50.47,15772.5259952608
-50.46,15772.6821092905
-50.45,15772.8382233201
-50.44,15772.9943358838
-50.43,15773.1504173887
-50.42,15773.3064988937
-50.41,15773.4625803987
-50.4,15773.6186619037
-50.39,15773.7747434087
-50.38,15773.9308249137
-50.37,15774.0869064186
-50.36,15774.2429879236
-50.35,15774.3990694286
-50.34,15774.5551363747
-50.33,15774.7111861804
-50.32,15774.8672359861
-50.31,15775.0232857918
-50.3,15775.1793355975
-50.29,15775.3353854032
-50.28,15775.4914352088
-50.27,15775.6474850145
-50.26,15775.8035348202
-50.25,15775.9595846259
-50.24,15776.1156074632
-50.23,15776.2716263944
-50.22,15776.4276453257
-50.21,15776.5836642569
-50.2,15776.7396831882
-50.19,15776.8957021194
-50.18,15777.0517210507
-50.17,15777.2077399819
-50.16,15777.3637589132
-50.15,15777.5197691993
-50.14,15777.6757580805
-50.13,15777.8317469617
-50.12,15777.9877358429
-50.11,15778.1437247241
-50.1,15778.2997136053
-50.09,15778.4557024864
-50.08,15778.6116913676
-50.07,15778.7676802488
-50.06,15778.92366913
-50.05,15779.0796374975
-50.04,15779.2355971525
-50.03,15779.3915568076
-50.02,15779.5475164626
-50.01,15779.7034761176
-50,15779.8594357727
-49.99,15780.0153954277
-49.98,15780.1713550828
-49.97,15780.3273147378
-49.96,15780.4832710952
-49.95,15780.6392023476
-49.94,15780.7951335999
-49.93,15780.9510648522
-49.92,15781.1069961046
-49.91,15781.2629273569
-49.9,15781.4188586092
-49.89,15781.5747898616
-49.88,15781.7307211139
-49.87,15781.8866523663
-49.86,15782.0425689929
-49.85,15782.1984726655
-49.84,15782.3543763381
-49.83,15782.5102800107
-49.82,15782.6661836834
-49.81,15782.822087356
-49.8,15782.9779910286
-49.79,15783.1338947012
-49.78,15783.2897983739
-49.77,15783.4457020465
-49.76,15783.6015804466
-49.75,15783.7574573621
-49.74,15783.9133342776
-49.73,15784.069211193
-49.72,15784.2250881085
-49.71,15784.380965024
-49.7,15784.5368419395
-49.69,15784.6927188549
-49.68,15784.8485957704
-49.67,15785.0044633825
-49.66,15785.160314363
-49.65,15785.3161653434
-49.64,15785.4720163239
-49.63,15785.6278673044
-49.62,15785.7837182848
-49.61,15785.9395692653
-49.6,15786.0954202458
-49.59,15786.2512712262
-49.58,15786.4071222067
-49.57,15786.5629537765
-49.56,15786.7187796437
-49.55,15786.8746055109
-49.54,15787.030431378
-49.53,15787.1862572452
-49.52,15787.3420831124
-49.51,15787.4979089796
-49.5,15787.6537348468
-49.49,15787.809560714
-49.48,15787.9653820354
-49.47,15788.1211836106
-49.46,15788.2769851859
-49.45,15788.4327867611
-49.44,15788.5885883364
-49.43,15788.7443899116
-49.42,15788.9001914868
-49.41,15789.0559930621
-49.4,15789.2117946373
-49.39,15789.3675962126
-49.38,15789.5233836738
-49.37,15789.6791617781
-49.36,15789.8349398823
-49.35,15789.9907179866
-49.34,15790.1464960908
-49.33,15790.3022741951
-49.32,15790.4580522993
-49.31,15790.6138304036
-49.3,15790.7696085078
-49.29,15790.92538626
-49.28,15791.0811417139
-49.27,15791.2368971677
-49.26,15791.3926526215
-49.25,15791.5484080754
-49.24,15791.7041635292
-49.23,15791.8599189831
-49.22,15792.0156744369
-49.21,15792.1714298907
-49.2,15792.3271853446
-49.19,15792.4829314169
-49.18,15792.6386650406
-49.17,15792.7943986642
-49.16,15792.9501322879
-49.15,15793.1058659115
-49.14,15793.2615995352
-49.13,15793.4173331588
-49.12,15793.5730667825
-49.11,15793.7288004061
-49.1,15793.8845340298
-49.09,15794.0402499217
-49.08,15794.195962535
-49.07,15794.3516751484
-49.06,15794.5073877617
-49.05,15794.6631003751
-49.04,15794.8188129884
-49.03,15794.9745256018
-49.02,15795.1302382151
-49.01,15795.2859508284
-49,15795.4416582294
-48.99,15795.5973506519
-48.98,15795.7530430745
-48.97,15795.9087354971
-48.96,15796.0644279197
-48.95,15796.2201203423
-48.94,15796.3758127649
-48.93,15796.5315051875
-48.92,15796.68719761
-48.91,15796.8428900326
-48.9,15796.9985694305
-48.89,15797.1542424816
-48.88,15797.3099155326
-48.87,15797.4655885837
-48.86,15797.6212616347
-48.85,15797.7769346858
-48.84,15797.9326077369
-48.83,15798.0882807879
-48.82,15798.243953839
-48.81,15798.3996252839
-48.8,15798.5552797824
-48.79,15798.7109342809
-48.78,15798.8665887793
-48.77,15799.0222432778
-48.76,15799.1778977763
-48.75,15799.3335522747
-48.74,15799.4892067732
-48.73,15799.6448612717
-48.72,15799.8005157701
-48.71,15799.9561613878
-48.7,15800.1117981523
-48.69,15800.2674349168
-48.68,15800.4230716813
-48.67,15800.5787084458
-48.66,15800.7343452103
-48.65,15800.8899819748
-48.64,15801.0456187393
-48.63,15801.2012555038
-48.62,15801.3568922683
-48.61,15801.5125135554
-48.6,15801.6681334043
-48.59,15801.8237532532
-48.58,15801.979373102
-48.57,15802.1349929509
-48.56,15802.2906127998
-48.55,15802.4462326487
-48.54,15802.6018524976
-48.53,15802.7574723465
-48.52,15802.9130868963
-48.51,15803.0686906477
-48.5,15803.224294399
-48.49,15803.3798981504
-48.48,15803.5355019018
-48.47,15803.6911056531
-48.46,15803.8467094045
-48.45,15804.0023131559
-48.44,15804.1579169073
-48.43,15804.3135206586
-48.42,15804.4691130512
-48.41,15804.6247015229
-48.4,15804.7802899946
-48.39,15804.9358784663
-48.38,15805.0914669379
-48.37,15805.2470554096
-48.36,15805.4026438813
-48.35,15805.558232353
-48.34,15805.7138208247
-48.33,15805.8694070172
-48.32,15806.0249810268
-48.31,15806.1805550364
-48.3,15806.336129046
-48.29,15806.4917030556
-48.28,15806.6472770651
-48.27,15806.8028510747
-48.26,15806.9584250843
-48.25,15807.1139990939
-48.24,15807.2695731035
-48.23,15807.425139311
-48.22,15807.5806996759
-48.21,15807.7362600408
-48.2,15807.8918204056
-48.19,15808.0473807705
-48.18,15808.2029411354
-48.17,15808.3585015002
-48.16,15808.5140618651
-48.15,15808.66962223
-48.14,15808.8251825949
-48.13,15808.9807303116
-48.12,15809.1362778489
-48.11,15809.2918253862
-48.1,15809.4473729235
-48.09,15809.6029204608
-48.08,15809.7584679981
-48.07,15809.9140155354
-48.06,15810.0695630727
-48.05,15810.22511061
-48.04,15810.3806533405
-48.03,15810.5361888672
-48.02,15810.6917243938
-48.01,15810.8472599205
-48,15811.0027954472
-47.99,15811.1583309739
-47.98,15811.3138665006
-47.97,15811.4694020272
-47.96,15811.6249375539
-47.95,15811.7804730806
-47.94,15811.9359994908
-47.93,15812.0915238236
-47.92,15812.2470481564
-47.91,15812.4025724892
-47.9,15812.558096822
-47.89,15812.7136211549
-47.88,15812.8691454877
-47.87,15813.0246698205
-47.86,15813.1801941533
-47.85,15813.3357161136
-47.84,15813.4912300691
-47.83,15813.6467440247
