"Time","Right.Cerebral.White.Matter"
-52.64,221614.861119743
-52.63,221615.016406375
-52.62,221615.171693007
-52.61,221615.32697964
-52.6,221615.482266272
-52.59,221615.637552904
-52.58,221615.792839537
-52.57,221615.948126169
-52.56,221616.103412801
-52.55,221616.258699433
-52.54,221616.415606076
-52.53,221616.572629893
-52.52,221616.729653709
-52.51,221616.886677525
-52.5,221617.043701342
-52.49,221617.200725158
-52.48,221617.357748975
-52.47,221617.514772791
-52.46,221617.671796608
-52.45,221617.829427425
-52.44,221617.988201757
-52.43,221618.14697609
-52.42,221618.305750422
-52.41,221618.464524754
-52.4,221618.623299087
-52.39,221618.782073419
-52.38,221618.940847752
-52.37,221619.099622084
-52.36,221619.258396417
-52.35,221619.418512979
-52.34,221619.579051173
-52.33,221619.739589366
-52.32,221619.90012756
-52.31,221620.060665754
-52.3,221620.221203948
-52.29,221620.381742141
-52.28,221620.542280335
-52.27,221620.702818529
-52.26,221620.863668032
-52.25,221621.025983444
-52.24,221621.188298857
-52.23,221621.350614269
-52.22,221621.512929681
-52.21,221621.675245093
-52.2,221621.837560506
-52.19,221621.999875918
-52.18,221622.16219133
-52.17,221622.324506742
-52.16,221622.487877477
-52.15,221622.651983475
-52.14,221622.816089474
-52.13,221622.980195472
-52.12,221623.144301471
-52.11,221623.308407469
-52.1,221623.472513468
-52.09,221623.636619466
-52.08,221623.800725464
-52.07,221623.964837917
-52.06,221624.130747879
-52.05,221624.29665784
-52.04,221624.462567802
-52.03,221624.628477763
-52.02,221624.794387725
-52.01,221624.960297687
-52,221625.126207648
-51.99,221625.29211761
-51.98,221625.458027571
-51.97,221625.624696791
-51.96,221625.792424099
-51.95,221625.960151408
-51.94,221626.127878717
-51.93,221626.295606026
-51.92,221626.463333335
-51.91,221626.631060644
-51.9,221626.798787953
-51.89,221626.966515262
-51.88,221627.134242571
-51.87,221627.303493035
-51.86,221627.473051082
-51.85,221627.642609129
-51.84,221627.812167176
-51.83,221627.981725223
-51.82,221628.15128327
-51.81,221628.320841317
-51.8,221628.490399364
-51.79,221628.659957411
-51.78,221628.829969474
-51.77,221629.001371655
-51.76,221629.172773835
-51.75,221629.344176015
-51.74,221629.515578196
-51.73,221629.686980376
-51.72,221629.858382557
-51.71,221630.029784737
-51.7,221630.201186917
-51.69,221630.372589098
-51.68,221630.545217993
-51.67,221630.718477705
-51.66,221630.891737418
-51.65,221631.06499713
-51.64,221631.238256842
-51.63,221631.411516554
-51.62,221631.584776266
-51.61,221631.758035979
-51.6,221631.931295691
-51.59,221632.104694986
-51.58,221632.27982563
-51.57,221632.454956274
-51.56,221632.630086918
-51.55,221632.805217563
-51.54,221632.980348207
-51.53,221633.155478851
-51.52,221633.330609495
-51.51,221633.505740139
-51.5,221633.680870783
-51.49,221633.856922511
-51.48,221634.033937488
-51.47,221634.210952464
-51.46,221634.38796744
-51.45,221634.564982416
-51.44,221634.741997393
-51.43,221634.919012369
-51.42,221635.096027345
-51.41,221635.273042322
-51.4,221635.450057298
-51.39,221635.628785959
-51.38,221635.807698666
-51.37,221635.986611373
-51.36,221636.165524081
-51.35,221636.344436788
-51.34,221636.523349495
-51.33,221636.702262203
-51.32,221636.88117491
-51.31,221637.060087617
-51.3,221637.239606578
-51.29,221637.420430412
-51.28,221637.601254246
-51.27,221637.782078081
-51.26,221637.962901915
-51.25,221638.143725749
-51.24,221638.324549583
-51.23,221638.505373417
-51.22,221638.686197251
-51.21,221638.867021085
-51.2,221639.049252568
-51.19,221639.23200092
-51.18,221639.414749272
-51.17,221639.597497624
-51.16,221639.780245976
-51.15,221639.962994329
-51.14,221640.145742681
-51.13,221640.328491033
-51.12,221640.511239385
