"Time","Right.Cortex"
-52.64,259311.555971239
-52.63,259309.298600332
-52.62,259307.041229425
-52.61,259304.783858518
-52.6,259302.526487611
-52.59,259300.269116705
-52.58,259298.011745798
-52.57,259295.754374891
-52.56,259293.497003984
-52.55,259291.239633077
-52.54,259288.985426877
-52.53,259286.731449576
-52.52,259284.477472276
-52.51,259282.223494975
-52.5,259279.969517675
-52.49,259277.715540374
-52.48,259275.461563074
-52.47,259273.207585773
-52.46,259270.953608473
-52.45,259268.700802922
-52.44,259266.450204805
-52.43,259264.199606688
-52.42,259261.949008571
-52.41,259259.698410454
-52.4,259257.447812337
-52.39,259255.19721422
-52.38,259252.946616103
-52.37,259250.696017985
-52.36,259248.445419868
-52.35,259246.19738224
-52.34,259243.950148933
-52.33,259241.702915626
-52.32,259239.455682319
-52.31,259237.208449012
-52.3,259234.961215705
-52.29,259232.713982398
-52.28,259230.466749091
-52.27,259228.219515784
-52.26,259225.97286937
-52.25,259223.728986549
-52.24,259221.485103728
-52.23,259219.241220907
-52.22,259216.997338086
-52.21,259214.753455265
-52.2,259212.509572444
-52.19,259210.265689623
-52.18,259208.021806802
-52.17,259205.777923981
-52.16,259203.536007431
-52.15,259201.295460821
-52.14,259199.054914211
-52.13,259196.814367601
-52.12,259194.573820991
-52.11,259192.333274382
-52.1,259190.092727772
-52.09,259187.852181162
-52.08,259185.611634552
-52.07,259183.371099828
-52.06,259181.133875203
-52.05,259178.896650578
-52.04,259176.659425954
-52.03,259174.422201329
-52.02,259172.184976704
-52.01,259169.947752079
-52,259167.710527454
-51.99,259165.47330283
-51.98,259163.236078205
-51.97,259161.000235528
-51.96,259158.76631871
-51.95,259156.532401893
-51.94,259154.298485076
-51.93,259152.064568259
-51.92,259149.830651441
-51.91,259147.596734624
-51.9,259145.362817807
-51.89,259143.12890099
-51.88,259140.894984173
-51.87,259138.66380766
-51.86,259136.433184521
-51.85,259134.202561383
-51.84,259131.971938244
-51.83,259129.741315105
-51.82,259127.510691966
-51.81,259125.280068827
-51.8,259123.049445689
-51.79,259120.81882255
-51.78,259118.589006831
-51.77,259116.36166329
-51.76,259114.134319748
-51.75,259111.906976207
-51.74,259109.679632665
-51.73,259107.452289124
-51.72,259105.224945582
-51.71,259102.997602041
-51.7,259100.7702585
-51.69,259098.542914958
-51.68,259096.317727997
-51.67,259094.09365002
-51.66,259091.869572042
-51.65,259089.645494065
-51.64,259087.421416088
-51.63,259085.197338111
-51.62,259082.973260133
-51.61,259080.749182156
-51.6,259078.525104179
-51.59,259076.301268789
-51.58,259074.080442391
-51.57,259071.859615992
-51.56,259069.638789593
-51.55,259067.417963194
-51.54,259065.197136796
-51.53,259062.976310397
-51.52,259060.755483998
-51.51,259058.5346576
-51.5,259056.313831201
-51.49,259054.094587399
-51.48,259051.876998641
-51.47,259049.659409882
-51.46,259047.441821124
-51.45,259045.224232366
-51.44,259043.006643607
-51.43,259040.789054849
-51.42,259038.57146609
-51.41,259036.353877332
-51.4,259034.136288574
-51.39,259031.921610917
-51.38,259029.707245908
-51.37,259027.492880899
-51.36,259025.27851589
-51.35,259023.06415088
-51.34,259020.849785871
-51.33,259018.635420862
-51.32,259016.421055853
-51.31,259014.206690844
-51.3,259011.993344091
-51.29,259009.782188986
-51.28,259007.571033882
-51.27,259005.359878778
-51.26,259003.148723674
-51.25,259000.93756857
-51.24,258998.726413465
-51.23,258996.515258361
-51.22,258994.304103257
-51.21,258992.092948153
-51.2,258989.884130773
-51.19,258987.676171777
-51.18,258985.46821278
-51.17,258983.260253783
-51.16,258981.052294786
-51.15,258978.844335789
-51.14,258976.636376792
-51.13,258974.428417795
-51.12,258972.220458799
-51.11,258970.012963262
-51.1,258967.808186622
-51.09,258965.603409981
-51.08,258963.39863334
-51.07,258961.1938567
-51.06,258958.989080059
-51.05,258956.784303418
-51.04,258954.579526777
-51.03,258952.374750137
-51.02,258950.169973496
-51.01,258947.966970793
-51,258945.765362804
-50.99,258943.563754814
-50.98,258941.362146824
-50.97,258939.160538835
-50.96,258936.958930845
-50.95,258934.757322856
-50.94,258932.555714866
-50.93,258930.354106877
-50.92,258928.152498887
-50.91,258925.953964004
-50.9,258923.755511006
-50.89,258921.557058009
-50.88,258919.358605011
-50.87,258917.160152013
-50.86,258914.961699016
-50.85,258912.763246018
-50.84,258910.564793021
-50.83,258908.366340023
-50.82,258906.16910667
-50.81,258903.973795051
-50.8,258901.778483432
-50.79,258899.583171813
-50.78,258897.387860194
-50.77,258895.192548575
-50.76,258892.997236956
-50.75,258890.801925337
-50.74,258888.606613718
-50.73,258886.411302099
-50.72,258884.218500413
-50.71,258882.026316605
-50.7,258879.834132796
-50.69,258877.641948988
-50.68,258875.449765179
-50.67,258873.257581371
-50.66,258871.065397563
-50.65,258868.873213754
-50.64,258866.681029946
-50.63,258864.489520887
-50.62,258862.300451367
-50.61,258860.111381846
-50.6,258857.922312325
-50.59,258855.733242805
-50.58,258853.544173284
-50.57,258851.355103763
-50.56,258849.166034243
-50.55,258846.976964722
-50.54,258844.787895202
-50.53,258842.600781884
-50.52,258840.414813173
-50.51,258838.228844463
-50.5,258836.042875752
-50.49,258833.856907042
-50.48,258831.670938331
-50.47,258829.484969621
-50.46,258827.29900091
-50.45,258825.113032199
-50.44,258822.927202649
-50.43,258820.744321316
-50.42,258818.561439982
-50.41,258816.378558649
-50.4,258814.195677315
-50.39,258812.012795982
-50.38,258809.829914648
-50.37,258807.647033315
