"Time","Right.Lateral.Ventricle"
-52.64,20611.4884774248
-52.63,20612.322943719
-52.62,20613.1574100132
-52.61,20613.9918763074
-52.6,20614.8263426016
-52.59,20615.6608088957
-52.58,20616.4952751899
-52.57,20617.3297414841
-52.56,20618.1642077783
-52.55,20618.9986740725
-52.54,20619.8333913044
-52.53,20620.6681266863
-52.52,20621.5028620683
-52.51,20622.3375974502
-52.5,20623.1723328321
-52.49,20624.007068214
-52.48,20624.841803596
-52.47,20625.6765389779
-52.46,20626.5112743598
-52.45,20627.3461033957
-52.44,20628.1811088644
-52.43,20629.0161143331
-52.42,20629.8511198018
-52.41,20630.6861252704
-52.4,20631.5211307391
-52.39,20632.3561362078
-52.38,20633.1911416765
-52.37,20634.0261471452
-52.36,20634.8611526138
-52.35,20635.6963643689
-52.34,20636.5316409243
-52.33,20637.3669174796
-52.32,20638.202194035
-52.31,20639.0374705904
-52.3,20639.8727471457
-52.29,20640.7080237011
-52.28,20641.5433002565
-52.27,20642.3785768118
-52.26,20643.2139010279
-52.25,20644.0494496708
-52.24,20644.8849983137
-52.23,20645.7205469566
-52.22,20646.5560955995
-52.21,20647.3916442425
-52.2,20648.2271928854
-52.19,20649.0627415283
-52.18,20649.8982901712
-52.17,20650.7338388141
-52.16,20651.5695484083
-52.15,20652.4053701406
-52.14,20653.2411918728
-52.13,20654.0770136051
-52.12,20654.9128353373
-52.11,20655.7486570695
-52.1,20656.5844788018
-52.09,20657.420300534
-52.08,20658.2561222663
-52.07,20659.0919449792
-52.06,20659.9280408035
-52.05,20660.7641366278
-52.04,20661.600232452
-52.03,20662.4363282763
-52.02,20663.2724241006
-52.01,20664.1085199249
-52,20664.9446157491
-51.99,20665.7807115734
-51.98,20666.6168073977
-51.97,20667.4530181524
-51.96,20668.2893890723
-51.95,20669.1257599923
-51.94,20669.9621309122
-51.93,20670.7985018321
-51.92,20671.6348727521
-51.91,20672.471243672
-51.9,20673.3076145919
-51.89,20674.1439855119
-51.88,20674.9803564318
-51.87,20675.8169570641
-51.86,20676.6536040843
-51.85,20677.4902511044
-51.84,20678.3268981246
-51.83,20679.1635451447
-51.82,20680.0001921649
-51.81,20680.8368391851
-51.8,20681.6734862052
-51.79,20682.5101332254
-51.78,20683.3468484675
-51.77,20684.1837725934
-51.76,20685.0206967193
-51.75,20685.8576208451
-51.74,20686.694544971
-51.73,20687.5314690969
-51.72,20688.3683932227
-51.71,20689.2053173486
-51.7,20690.0422414745
-51.69,20690.8791656003
-51.68,20691.7162733916
-51.67,20692.5534756296
-51.66,20693.3906778677
-51.65,20694.2278801057
-51.64,20695.0650823437
-51.63,20695.9022845817
-51.62,20696.7394868198
-51.61,20697.5766890578
-51.6,20698.4138912958
-51.59,20699.2511143579
-51.58,20700.0885957154
-51.57,20700.926077073
-51.56,20701.7635584305
-51.55,20702.6010397881
-51.54,20703.4385211456
-51.53,20704.2760025032
-51.52,20705.1134838607
-51.51,20705.9509652183
-51.5,20706.7884465758
-51.49,20707.6260648632
-51.48,20708.4638263486
-51.47,20709.301587834
-51.46,20710.1393493194
-51.45,20710.9771108048
-51.44,20711.8148722902
-51.43,20712.6526337756
-51.42,20713.490395261
-51.41,20714.3281567464
-51.4,20715.1659182318
-51.39,20716.0039335889
-51.38,20716.8419762114
-51.37,20717.680018834
-51.36,20718.5180614565
-51.35,20719.356104079
-51.34,20720.1941467015
-51.33,20721.0321893241
-51.32,20721.8702319466
-51.31,20722.7082745691
-51.3,20723.5464066953
-51.29,20724.3847314652
-51.28,20725.223056235
-51.27,20726.0613810049
-51.26,20726.8997057748
-51.25,20727.7380305447
-51.24,20728.5763553145
-51.23,20729.4146800844
-51.22,20730.2530048543
-51.21,20731.0913296242
-51.2,20731.9298615043
-51.19,20732.7684694327
-51.18,20733.6070773611
-51.17,20734.4456852895
-51.16,20735.2842932179
-51.15,20736.1229011463
-51.14,20736.9615090748
-51.13,20737.8001170032
-51.12,20738.6387249316
-51.11,20739.477374245
-51.1,20740.3162663441
-51.09,20741.1551584432
-51.08,20741.9940505422
-51.07,20742.8329426413
-51.06,20743.6718347404
-51.05,20744.5107268395
-51.04,20745.3496189386
-51.03,20746.1885110376
-51.02,20747.0274031367
-51.01,20747.8664548931
-51,20748.705632176
-50.99,20749.5448094588
-50.98,20750.3839867417
-50.97,20751.2231640245
-50.96,20752.0623413074
-50.95,20752.9015185903
-50.94,20753.7406958731
-50.93,20754.579873156
-50.92,20755.4190504388
-50.91,20756.2585064915
-50.9,20757.0979699722
-50.89,20757.9374334529
-50.88,20758.7768969336
-50.87,20759.6163604143
-50.86,20760.4558238951
-50.85,20761.2952873758
-50.84,20762.1347508565
-50.83,20762.9742143372
-50.82,20763.8137893287
-50.81,20764.6535400223
-50.8,20765.493290716
-50.79,20766.3330414096
-50.78,20767.1727921032
-50.77,20768.0125427968
-50.76,20768.8522934904
-50.75,20769.692044184
-50.74,20770.5317948776
-50.73,20771.3715455712
-50.72,20772.2115275562
-50.71,20773.0515664787
-50.7,20773.8916054013
-50.69,20774.7316443238
-50.68,20775.5716832463
-50.67,20776.4117221689
-50.66,20777.2517610914
-50.65,20778.0918000139
-50.64,20778.9318389365
-50.63,20779.7719405278
-50.62,20780.6122686963
-50.61,20781.4525968647
-50.6,20782.2929250332
-50.59,20783.1332532016
-50.58,20783.9735813701
-50.57,20784.8139095385
-50.56,20785.654237707
-50.55,20786.4945658754
-50.54,20787.3348940439
-50.53,20788.1754053306
-50.52,20789.016023763
-50.51,20789.8566421954
-50.5,20790.6972606277
-50.49,20791.5378790601
-50.48,20792.3784974924
-50.47,20793.2191159248
-50.46,20794.0597343571
-50.45,20794.9003527895
-50.44,20795.7409843511
-50.43,20796.5818940663
-50.42,20797.4228037816
-50.41,20798.2637134968
-50.4,20799.104623212
-50.39,20799.9455329272
-50.38,20800.7864426425
-50.37,20801.6273523577
-50.36,20802.4682620729
-50.35,20803.3091717881
-50.34,20804.1502157521
-50.33,20804.9914177701
-50.32,20805.8326197882
-50.31,20806.6738218062
-50.3,20807.5150238243
-50.29,20808.3562258423
-50.28,20809.1974278604
-50.27,20810.0386298784
-50.26,20810.8798318965
-50.25,20811.7210339145
-50.24,20812.5624921466
-50.23,20813.4039874884
-50.22,20814.2454828302
-50.21,20815.0869781721
-50.2,20815.9284735139
-50.19,20816.7699688557
-50.18,20817.6114641975
-50.17,20818.4529595394
-50.16,20819.2944548812
-50.15,20820.1360349036
-50.14,20820.9778245912
-50.13,20821.8196142787
-50.12,20822.6614039663
-50.11,20823.5031936538
-50.1,20824.3449833414
-50.09,20825.1867730289
-50.08,20826.0285627165
-50.07,20826.870352404
-50.06,20827.7121420916
-50.05,20828.5541390974
-50.04,20829.3962241536
-50.03,20830.2383092098
-50.02,20831.080394266
-50.01,20831.9224793222
-50,20832.7645643785
-49.99,20833.6066494347
-49.98,20834.4487344909
-49.97,20835.2908195471
-49.96,20836.1329390152
-49.95,20836.975320464
-49.94,20837.8177019129
-49.93,20838.6600833617
-49.92,20839.5024648106
-49.91,20840.3448462594
-49.9,20841.1872277083
-49.89,20842.0296091571
-49.88,20842.8719906059
-49.87,20843.7143720548
-49.86,20844.5569112265
-49.85,20845.3995900929
-49.84,20846.2422689594
-49.83,20847.0849478258
-49.82,20847.9276266922
-49.81,20848.7703055587
-49.8,20849.6129844251
-49.79,20850.4556632915
-49.78,20851.2983421579
-49.77,20852.1410210244
-49.76,20852.9839817748
-49.75,20853.8269590848
-49.74,20854.6699363948
-49.73,20855.5129137047
-49.72,20856.3558910147
-49.71,20857.1988683247
-49.7,20858.0418456347
-49.69,20858.8848229447
-49.68,20859.7278002547
-49.67,20860.5708849905
-49.66,20861.414161771
-49.65,20862.2574385515
-49.64,20863.1007153321
-49.63,20863.9439921126
-49.62,20864.7872688931
-49.61,20865.6305456737
-49.6,20866.4738224542
-49.59,20867.3170992347
-49.58,20868.1603760153
-49.57,20869.0038850586
-49.56,20869.8474623377
-49.55,20870.6910396168
-49.54,20871.5346168958
-49.53,20872.3781941749
-49.52,20873.221771454
-49.51,20874.0653487331
-49.5,20874.9089260122
-49.49,20875.7525032912
-49.48,20876.5961369953
-49.47,20877.440015802
-49.46,20878.2838946087
-49.45,20879.1277734153
-49.44,20879.971652222
-49.43,20880.8155310287
-49.42,20881.6594098353
-49.41,20882.503288642
-49.4,20883.3471674487
-49.39,20884.1910462553
-49.38,20885.0351070009
-49.37,20885.8792883652
-49.36,20886.7234697295
-49.35,20887.5676510938
-49.34,20888.4118324581
-49.33,20889.2560138224
-49.32,20890.1001951867
-49.31,20890.944376551
-49.3,20891.7885579153
-49.29,20892.6327439979
-49.28,20893.477228951
-49.27,20894.321713904
-49.26,20895.166198857
-49.25,20896.0106838101
-49.24,20896.8551687631
-49.23,20897.6996537161
-49.22,20898.5441386692
-49.21,20899.3886236222
-49.2,20900.2331085752
-49.19,20901.0777244383
-49.18,20901.9225140122
-49.17,20902.7673035861
-49.16,20903.61209316
-49.15,20904.4568827339
-49.14,20905.3016723077
-49.13,20906.1464618816
-49.12,20906.9912514555
-49.11,20907.8360410294
-49.1,20908.6808306033
-49.09,20909.5258781348
-49.08,20910.3709733627
-49.07,20911.2160685906
-49.06,20912.0611638185
-49.05,20912.9062590464
-49.04,20913.7513542743
-49.03,20914.5964495022
-49.02,20915.4415447301
-49.01,20916.286639958
-49,20917.1318143601
