"Time","Right.Ventral.DC"
-52.64,4120.70178825394
-52.63,4120.70276597353
-52.62,4120.70374369312
-52.61,4120.70472141271
-52.6,4120.7056991323
-52.59,4120.70667685189
-52.58,4120.70765457148
-52.57,4120.70863229107
-52.56,4120.70961001066
-52.55,4120.71058773025
-52.54,4120.71157366894
-52.53,4120.71256020212
-52.52,4120.71354673529
-52.51,4120.71453326847
-52.5,4120.71551980165
-52.49,4120.71650633482
-52.48,4120.717492868
-52.47,4120.71847940117
-52.46,4120.71946593435
-52.45,4120.72045554751
-52.44,4120.721450963
-52.43,4120.72244637849
-52.42,4120.72344179398
-52.41,4120.72443720947
-52.4,4120.72543262495
-52.39,4120.72642804044
-52.38,4120.72742345593
-52.37,4120.72841887142
-52.36,4120.72941428691
-52.35,4120.73041651411
-52.34,4120.73142088107
-52.33,4120.73242524802
-52.32,4120.73342961498
-52.31,4120.73443398194
-52.3,4120.73543834889
-52.29,4120.73644271585
-52.28,4120.7374470828
-52.27,4120.73845144976
-52.26,4120.7394573969
-52.25,4120.74047078491
-52.24,4120.74148417291
-52.23,4120.74249756092
-52.22,4120.74351094892
-52.21,4120.74452433693
-52.2,4120.74553772493
-52.19,4120.74655111294
-52.18,4120.74756450094
-52.17,4120.74857788895
-52.16,4120.74959663497
-52.15,4120.75061911404
-52.14,4120.75164159311
-52.13,4120.75266407218
-52.12,4120.75368655124
-52.11,4120.75470903031
-52.1,4120.75573150938
-52.09,4120.75675398844
-52.08,4120.75777646751
-52.07,4120.75879897936
-52.06,4120.75983061993
-52.05,4120.7608622605
-52.04,4120.76189390108
-52.03,4120.76292554165
-52.02,4120.76395718222
-52.01,4120.7649888228
-52,4120.76602046337
-51.99,4120.76705210394
-51.98,4120.76808374452
-51.97,4120.76911924223
-51.96,4120.77016011518
-51.95,4120.77120098814
-51.94,4120.77224186109
-51.93,4120.77328273405
-51.92,4120.774323607
-51.91,4120.77536447996
-51.9,4120.77640535291
-51.89,4120.77744622587
-51.88,4120.77848709882
-51.87,4120.77953571235
-51.86,4120.780585889
-51.85,4120.78163606565
-51.84,4120.78268624229
-51.83,4120.78373641894
-51.82,4120.78478659559
-51.81,4120.78583677224
-51.8,4120.78688694889
-51.79,4120.78793712554
-51.78,4120.78898961037
-51.77,4120.79004916246
-51.76,4120.79110871455
-51.75,4120.79216826664
-51.74,4120.79322781872
-51.73,4120.79428737081
-51.72,4120.7953469229
-51.71,4120.79640647499
-51.7,4120.79746602708
-51.69,4120.79852557917
-51.68,4120.79959137047
-51.67,4120.80066037019
-51.66,4120.8017293699
-51.65,4120.80279836962
-51.64,4120.80386736933
-51.63,4120.80493636904
-51.62,4120.80600536876
-51.61,4120.80707436847
-51.6,4120.80814336819
-51.59,4120.80921307817
-51.58,4120.81029159813
-51.57,4120.8113701181
-51.56,4120.81244863806
-51.55,4120.81352715802
-51.54,4120.81460567799
-51.53,4120.81568419795
-51.52,4120.81676271791
-51.51,4120.81784123787
-51.5,4120.81891975784
-51.49,4120.82000296713
-51.48,4120.8210910804
-51.47,4120.82217919368
-51.46,4120.82326730696
-51.45,4120.82435542024
-51.44,4120.82544353351
-51.43,4120.82653164679
-51.42,4120.82761976007
-51.41,4120.82870787335
-51.4,4120.82979598662
-51.39,4120.83089282921
-51.38,4120.83199060931
-51.37,4120.83308838941
-51.36,4120.8341861695
-51.35,4120.8352839496
-51.34,4120.8363817297
-51.33,4120.8374795098
-51.32,4120.8385772899
-51.31,4120.83967507
-51.3,4120.84077594009
